algo,users,traffic,weight_name,blocking_rate_mean,blocking_rate_std,spectral_efficiency_mean,spectral_efficiency_std,energy_efficiency_mean,energy_efficiency_std,total_power_mean,total_power_std,qos_violations_mean,qos_violations_std,episode_reward_mean,episode_reward_std,invalid_action_rate_mean,invalid_action_rate_std,selector_evaluated_actions_mean,selector_evaluated_actions_std
dqn,25,hotspot,equal,0.012000000000000002,0.004,87.25230520979956,2.383469123998312,0.3651475139268035,0.31195062181020966,596.1412104289766,689.9047477994475,0.0,0.0,21.066666666666666,0.5033222956847166,0.05999999999999997,0.0056950926393436125,,
dqn,25,uniform,equal,0.04133333333333333,0.00832666399786453,81.24638753994635,1.6848781119845522,0.5574742702816357,0.4656064024845694,234.7642719257424,110.09211515258693,0.0,0.0,21.0,0.4358898943540664,0.018518518518518465,0.0010762713440841155,,
dqn,50,hotspot,equal,0.07466666666666666,0.0023094010767585062,150.9006698726573,2.4392509222002245,0.5336351599086105,0.24137174925029153,321.2257448839912,126.68878340121766,0.0,0.0,40.6,0.3605551275463972,0.11798353909465013,0.005846084219902512,,
dqn,50,uniform,equal,0.1353333333333333,0.04500370355130042,134.0478019894019,6.30524087109969,0.3685612978611054,0.2746472979576125,922.1704396508935,1135.2489413095575,0.0,0.0,39.63333333333333,1.0692676621563604,0.037407407407407396,0.0009642283550501956,,
dqn,75,hotspot,equal,0.11199999999999997,0.028689913055133336,209.7901955413303,9.335416436361442,0.2079200462628147,0.11208303594412163,1444.5665317215637,1179.992832213012,0.0,0.0,58.666666666666664,2.65015722804013,0.1745679012345679,0.000997889354154908,,
dqn,75,uniform,equal,0.23155555555555551,0.04390562268894161,181.60046207575581,4.721272334287774,0.20002001510425763,0.18187241191742104,1486.2605720408956,998.5963677161669,0.0,0.0,54.03333333333333,3.295957119462165,0.0528120713305898,0.0019912479903016985,,
dqn,100,hotspot,equal,0.157,0.03900000000000001,258.17119069783865,6.907400569553273,0.3356757503875058,0.1531257724432686,894.7458918329952,414.14361246140385,0.0,0.0,73.93333333333334,5.181055233572917,0.23792181069958848,0.006196354388031611,,
dqn,100,uniform,equal,0.2643333333333333,0.0011547005383792206,228.49109790845705,2.4010687019396912,0.1087143937505697,0.031651706416612205,2249.4381297088808,758.7180027670748,0.0,0.0,68.89999999999999,0.6082762530298192,0.06855967078189297,0.002983680995632178,,
dqn,125,hotspot,equal,0.29733333333333334,0.03780652501002088,270.98617190154823,1.3910671261152059,0.18842970536944356,0.08931193422737614,1757.6262490772133,990.9922650559906,0.0,0.0,79.13333333333334,3.501904243884086,0.27030452674897115,0.032564235076022734,,
dqn,125,uniform,equal,0.3389333333333333,0.04017030412298786,262.0837975495937,10.394629530092573,0.17343701422187482,0.0756638954513479,1751.178897790358,637.1294033233254,0.0,0.0,78.66666666666667,5.484827557301444,0.07899588477366253,0.0023991734253763124,,
dqn,150,hotspot,equal,0.34577777777777774,0.08187886264566784,294.13412435669176,26.19256016934068,0.2518209699992569,0.18993381123791286,1672.8171668043003,991.1367731660393,0.0,0.0,89.89999999999999,12.480785231707175,0.3242386831275719,0.01156751986347846,,
dqn,150,uniform,equal,0.31466666666666665,0.027300793639257703,319.82297804889726,7.5584352270454085,0.1089307264202634,0.03168427040467888,3116.326872601923,865.7559502622539,0.0,0.0,97.39999999999999,3.300000000000006,0.09662551440329213,0.007868157788993411,,
