algo,method,users,seed,traffic,weight_name,weights,weight_se,weight_ee,weight_blocking,blocking_rate,spectral_efficiency,energy_efficiency,total_power,total_power_w,qos_violations,episode_reward,epsilon,train_steps,loss,mean_q_value,invalid_action_rate,replay_buffer_size,served_users,blocked_users,objective,served_users_std,blocked_users_std,blocked_reject_action,blocked_reject_action_std,blocked_occupied_channel,blocked_occupied_channel_std,blocked_qos,blocked_qos_std,qos_violations_std,blocking_rate_std,spectral_efficiency_std,energy_efficiency_std,total_power_w_std,objective_std,episode_reward_std,mean_q_value_std,invalid_action_rate_std,candidate_steps,candidate_steps_std,sage_steps,sage_steps_std,hotspot_threshold,eval_episodes,candidate_min_users,candidate_min_remaining,candidate_min_peak_load,selector_reject_actions,selector_reject_actions_std,selector_margin,selector_margin_std,selector_tolerance,selector_evaluated_actions,selector_evaluated_actions_std,selector_top_k
dqn,dqn,25,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.008,85.98315363972351,0.68561390574097,126.2828482005762,126.2828482005762,0.0,21.6,0.0,2500,0.3606181442737579,11.999571533203126,0.0535802469135802,2500.0,24.8,0.2,0.4042237777712723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,25,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.032,82.24233083260276,0.348225756770847,236.52982212813475,236.52982212813475,0.0,21.5,0.0,2500,0.5518896778424581,15.544680755615236,0.0172839506172839,2500.0,24.2,0.8,0.3921692361293102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,25,1,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.012,85.77196591753935,0.0624742982360117,1388.2,1388.2,0.0,20.6,0.0,2500,0.3341419622302055,11.407256858825685,0.0619753086419753,2500.0,24.7,0.3,0.4009835113152717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,25,1,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.044,82.19578833034761,1.090993172293609,123.8,123.8,0.0,20.8,0.0,2500,0.3900833775599797,12.1096697807312,0.0190123456790123,2500.0,23.9,1.1,0.3901936935316608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,25,2,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.016,90.00179607213582,0.3473543378034288,273.94078308635363,273.94078308635363,0.0,21.0,0.0,2500,0.3706600715716679,13.237525241851808,0.0644444444444444,2500.0,24.6,0.4,0.4039663698873449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,25,2,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.048,79.3010434568887,0.2332038817804508,343.9629936490925,343.9629936490925,0.0,20.7,0.0,2500,0.4125129779179891,13.28092774963379,0.0192592592592592,2500.0,23.8,1.2,0.3840653247745751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,50,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.076,150.78655126706244,0.3399607241686433,444.4050587633152,444.4050587633152,0.0,40.2,0.0,5000,0.2055826224386692,11.140141816139222,0.1112345679012345,5000.0,46.2,3.8,0.4345997947341315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,50,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.154,135.31765488928693,0.4736973794781808,289.9574381949934,289.9574381949934,0.0,39.4,0.0,5000,0.2475030918916066,12.805911695480347,0.0379012345679012,5000.0,42.3,7.7,0.3960805384618451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,50,1,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.072,148.5204811845134,0.4568982407600002,327.9748786407183,327.9748786407183,0.0,40.7,0.0,5000,0.2483895663172006,11.517582531929015,0.1212345679012345,5000.0,46.4,3.6,0.4343695627669833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,50,1,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1679999999999999,127.20427926879756,0.0568775656479881,2232.771887242357,2232.771887242357,0.0,38.7,0.0,5000,0.3196236304938793,13.596646415710447,0.0362962962962963,5000.0,41.6,8.4,0.3834948926285757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,50,2,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.076,153.39497716639602,0.8040465147971879,191.2972972479401,191.2972972479401,0.0,40.9,0.0,5000,0.315593716998895,12.197581993103029,0.1214814814814814,5000.0,46.2,3.8,0.4380626101797665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,50,2,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.084,139.62147181012125,0.5751089484571473,243.78199351533016,243.78199351533016,0.0,40.8,0.0,5000,0.3940387902160485,14.038406002044676,0.0380246913580247,5000.0,45.8,4.2,0.4232820846985931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,75,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.084,218.90207257156047,0.0787095302819729,2806.1700391755435,2806.1700391755435,0.0,61.7,0.0,7500,0.2082363098031944,10.799657490412391,0.1751440329218107,7500.0,68.7,6.3,0.4879703647270836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,75,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1813333333333333,185.88440321284824,0.076454501849396,2440.817937136509,2440.817937136509,0.0,57.6,0.0,7500,0.2110547009441587,11.843373377482097,0.0550617283950617,7500.0,61.4,13.6,0.4280049318491774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,75,1,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1413333333333333,200.2462441172744,0.2789353640364765,720.0612261840968,720.0612261840968,0.0,56.8,0.0,7500,0.1811600091556708,10.395663726806642,0.1734156378600823,7500.0,64.4,10.6,0.4538689127756076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,75,1,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2626666666666666,176.5385088523028,0.1147441195985785,1569.1692538384584,1569.1692538384584,0.0,51.1,0.0,7500,0.2354904421501689,13.276262035369871,0.0520987654320987,7500.0,55.3,19.7,0.3932119354869149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,75,2,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1106666666666666,210.2222699351561,0.2661152444699948,807.4683298050513,807.4683298050513,0.0,57.5,0.0,7500,0.223634327451388,10.733008010864255,0.1751440329218107,7500.0,66.7,8.3,0.4723688784028244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,75,2,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2506666666666667,182.3784741621164,0.4088614238647984,448.7945251477192,448.7945251477192,0.0,53.4,0.0,7500,0.255902513447735,12.05424028778076,0.051275720164609,7500.0,56.2,18.8,0.4028955657569436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,100,0,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.133,263.9187620560017,0.3266163922612891,809.6068374819681,809.6068374819681,0.0,75.7,0.0,10000,0.2068056526780128,11.083777297496798,0.2308024691358024,10000.0,86.7,13.3,0.5098395694696161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,100,0,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.265,227.1322933573332,0.1144082788159901,1989.0034880891449,1989.0034880891449,0.0,69.3,0.0,10000,0.2207828122377395,12.52863893032074,0.0691975308641975,10000.0,73.5,26.5,0.4345947119055998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,100,1,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.136,260.0865855583048,0.49313007824571,529.7881956101924,529.7881956101924,0.0,78.0,0.0,10000,0.1694220924377441,10.337912817001342,0.2408641975308642,10000.0,86.4,13.6,0.5061086270714921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,100,1,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.263,231.26343318708385,0.0746022105546286,3104.0747737053675,3104.0747737053675,0.0,68.2,0.0,10000,0.1723374187946319,11.70567238998413,0.0711728395061728,10000.0,73.7,26.3,0.4385934226852216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,100,2,hotspot,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.202,250.50822447920936,0.1872807806555184,1344.8426424068248,1344.8426424068248,0.0,68.1,0.0,10000,0.183516745865345,10.48370226573944,0.2420987654320988,10000.0,79.8,20.2,0.4752770781233842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dqn,dqn,100,2,uniform,equal,equal,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2649999999999999,227.07756718095408,0.1371326918810904,1655.23612733213,1655.23612733213,0.0,69.2,0.0,10000,0.2039546537399292,12.257265247344971,0.0653086419753086,10000.0,73.5,26.5,0.4346122301282424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
